YEAR      AMO    ENSO    VOLC     SOLAR    GA
2001   0.5890  -0.7595   0.6230   0.6014   0.6150
2002   0.7704  -0.2668   0.6312   1.0502   0.7264
2003   0.5304   0.6173   0.6137   1.0298   0.8408
2004   1.3884   0.2349   0.6122   0.5874   0.9589
2005   0.8475   0.4049   0.5833   0.0566   1.0796
2006   1.4523  -0.6191   0.5608  -0.5110   1.2024
2007   1.2329   0.1889   0.5022  -1.1493   1.3266
2008   1.1778  -1.5363   0.5166  -1.6911   1.4522
2009   1.3882  -0.3758   0.5376  -2.1619   1.5784
2010   0.8730   0.6338   0.5591  -2.3574   1.7058
2011   1.9310  -1.9142   0.5498  -2.2612   1.8297
2012   1.3420  -0.8750   0.5503  -1.9271   1.9367
2013   1.4117  -0.3460   0.5879  -1.6159   2.0465
2014   1.6203   0.0069   0.5712  -1.4140   2.1613
2015   1.4271   1.3451   0.5352  -1.1792   2.2811
