YEAR      AMO    ENSO    VOLC     SOLAR    GA
1891  -0.8370  -1.1536  -1.1420  -4.6109  -4.6425
1892  -0.4646  -1.2541  -0.6865  -4.2233  -4.6188
1893  -0.8125  -2.8382  -0.1772  -3.5605  -4.5939
1894  -0.2706  -2.4266   0.2850  -2.7744  -4.5682
1895  -1.1842  -1.3787   0.5205  -2.3349  -4.5428
1896  -0.6670  -0.1507   0.1897  -2.3034  -4.5183
1897  -0.5728   0.6896  -0.1823  -2.5387  -4.4949
1898  -0.4597  -1.1572  -0.1249  -2.8398  -4.4725
1899  -0.5433  -0.9360   0.2368  -3.1502  -4.4516
1900  -0.0135   0.9215   0.4863  -3.5214  -4.4318
1901  -0.4328  -0.2013   0.5970  -3.9543  -4.4127
1902  -0.4330   0.0374   0.3113  -4.3165  -4.3937
1903  -1.4637   0.1746  -1.9353  -4.3930  -4.3745
1904  -1.6509  -1.1919  -1.7698  -4.1498  -4.3542
1905  -1.7416   0.5631  -0.5938  -3.9869  -4.3320
1906  -1.4917   0.2836   0.0591  -3.6396  -4.3085
1907  -0.9152  -1.5026   0.2057  -3.4753  -4.2841
1908  -1.2831  -1.2421   0.1363  -3.2885  -4.2586
1909  -1.0440  -1.8571   0.3289  -3.2945  -4.2326
1910  -0.4614  -2.6958   0.4687  -3.4307  -4.2062
1911  -0.8845  -2.1772   0.5532  -3.7728  -4.1794
1912  -1.2398  -0.1235   0.2575  -4.1608  -4.1521
1913  -1.5436  -0.9038  -0.5482  -4.4305  -4.1239
1914  -1.8764  -0.1520  -0.1615  -4.4487  -4.0947
1915  -2.1929   0.3390   0.2703  -3.9643  -4.0644
1916  -0.3041  -1.4685   0.4738  -3.0649  -4.0325
1917  -0.1765  -2.3134   0.5350  -2.0639  -3.9989
1918  -1.1976  -1.3063   0.5712  -1.1172  -3.9642
1919  -1.4938   0.7143   0.5810  -0.7795  -3.9290
1920  -1.4846  -0.4050   0.4354  -0.9094  -3.8934
1921  -0.8928  -1.3612   0.2188  -1.3258  -3.8585
1922  -0.9139  -1.3745   0.4100  -1.9053  -3.8254
1923  -0.9650  -1.3242   0.5592  -2.4929  -3.7939
1924  -1.0049  -0.8711   0.5515  -2.9602  -3.7640
1925   0.6866  -1.3310   0.5248  -3.1359  -3.7356
1926  -0.6637   0.9364   0.5539  -2.8795  -3.7084
1927   0.4439  -0.6408   0.5743  -2.3836  -3.6818
1928   0.7759  -0.6093   0.5227  -2.1736  -3.6549
1929   0.5678  -0.8902   0.2823  -2.0362  -3.6279
1930  -0.0806  -0.1031   0.2822  -1.8857  -3.6010
1931  -0.0382   1.1804   0.3860  -2.1017  -3.5738
1932   0.6645  -0.3392   0.3492  -2.5516  -3.5455
1933   0.1498  -1.0981   0.2780  -3.0353  -3.5163
1934   0.1533  -1.4533   0.4233  -3.3708  -3.4864
1935   0.0861  -0.9171   0.4487  -3.2941  -3.4558
1936   0.1834  -0.2561   0.4965  -2.5781  -3.4241
1937   0.6841  -0.2101   0.5231  -1.7773  -3.3918
1938   0.9755  -1.0381   0.4825  -1.1526  -3.3588
1939   0.9440  -1.0624   0.4481  -0.6307  -3.3256
1940  -0.1713   0.3993   0.4924  -0.4169  -3.2925
1941  -0.3161   1.2958   0.5451  -0.4495  -3.2600
1942  -0.2192   0.4032   0.5249  -0.7877  -3.2288
1943   0.3729  -1.3887   0.4477  -1.3720  -3.1997
1944  -0.3783  -0.6187   0.5171  -1.8457  -3.1729
1945   0.6757  -0.8130   0.5549  -1.9795  -3.1483
1946   0.4115  -1.0534   0.5917  -1.8258  -3.1260
1947   0.2689  -0.5513   0.5860  -1.0524  -3.1057
1948  -0.0409  -0.7491   0.5733  -0.0132  -3.0867
1949   0.0490  -1.0213   0.5643   0.6659  -3.0683
1950  -0.1226  -2.2018   0.5249   0.8819  -3.0500
1951   0.2450  -1.5950   0.5691   0.5035  -3.0333
1952   0.8569  -0.2730   0.5217   0.1122  -3.0179
1953   0.8832  -0.3097   0.5225  -0.3966  -3.0028
1954   0.5864  -0.9197   0.4840  -0.9566  -2.9877
1955   0.4127  -2.2576   0.5540  -1.2083  -2.9720
1956   1.1424  -2.6001   0.5992  -0.8548  -2.9550
1957   0.1619  -0.6891   0.6434   0.1429  -2.9363
1958   0.1900   0.7623   0.6739   1.4102  -2.9162
1959   0.7593  -0.0229   0.6808   2.2073  -2.8947
1960   0.2325  -0.4391   0.5949   2.6205  -2.8722
1961   1.0220  -0.6758   0.3594   2.4727  -2.8494
1962   0.4401  -1.2791   0.2284   1.8228  -2.8271
1963   0.7362  -0.6839  -0.4477   1.0856  -2.8054
1964   0.7197  -0.6736  -2.3684   0.3131  -2.7848
1965   0.4442  -0.8425  -2.1284  -0.3908  -2.7632
1966  -0.6371   0.3909  -1.0204  -0.8119  -2.7392
1967   0.6212  -0.9460  -0.2136  -0.7266  -2.7121
1968   0.4287  -1.3180  -0.2265  -0.3854  -2.6817
1969  -0.0959   0.3815  -0.9192  -0.1061  -2.6480
1970  -0.1039  -0.2967  -0.4740   0.1899  -2.6101
1971  -0.2414  -2.3825   0.1740   0.3518  -2.5654
1972  -0.6334  -0.8685   0.5188   0.3337  -2.5115
1973  -1.9520   0.2223   0.5160   0.0087  -2.4486
1974  -1.0145  -2.2914   0.3242  -0.4996  -2.3775
1975  -1.3753  -1.9197  -0.3196  -1.0788  -2.2997
1976  -1.1902  -1.9832  -0.2179  -1.5078  -2.2156
1977  -1.9866   0.2904   0.3061  -1.3014  -2.1248
1978  -1.3189  -0.1413   0.5049  -0.3100  -2.0263
1979  -1.2269  -0.1773   0.3463   0.5062  -1.9193
1980  -1.0969   0.4448   0.5060   0.9535  -1.8052
1981  -0.8733  -0.3583   0.5697   1.3841  -1.6887
1982  -0.4155  -0.0317  -0.3822   1.4215  -1.5726
1983  -1.8499   2.2889  -2.7524   1.3441  -1.4569
1984  -1.4703  -0.3615  -1.7386   0.9398  -1.3396
1985  -0.8044  -1.2191  -0.4156   0.3723  -1.2211
1986  -1.1684  -0.5769   0.0200  -0.1707  -1.1027
1987  -0.7438   1.4174   0.1990  -0.5656  -0.9834
1988  -0.7317   0.4623   0.3724  -0.5680  -0.8614
1989   0.5528  -1.8756   0.4889  -0.1039  -0.7377
1990  -0.3643  -0.3716   0.5357   0.4819  -0.6145
1991   0.0307   0.1152  -0.0619   0.8593  -0.4933
1992  -0.8657   1.0798  -2.8907   1.0081  -0.3766
1993  -1.7001   0.7315  -2.0721   0.7793  -0.2639
1994  -1.6970   0.3773  -0.6200   0.3444  -0.1535
1995  -0.3780   0.5382   0.1247  -0.1291  -0.0436
1996   0.5216  -0.4546   0.4453  -0.6070   0.0657
1997   0.3560   0.4240   0.5709  -0.9373   0.1740
1998  -0.2277   2.2808   0.6131  -0.9039   0.2834
1999   0.7256  -1.3660   0.6259  -0.4578   0.3947
2000   0.8533  -1.6223   0.6284   0.0537   0.5053
